file,speaker,duration,silence_duration,silence_intensity,s_intensity,no_surrounding_silence,has_s,audio_peaked,primary_environment_count,secondary_environment_count,UWUH_L,sil_HH,sil_F,F_sil,W_UWUH,TH_sil,vowel_vowel,V_sil,sil_TH,vowel_R,Y_vowel,vowel_D_vowel,vowel_L,vowel_sil,sil_DH,vowel_T_vowel,DH_sil,L_vowel,R_vowel,sil_V,Y_UWUH,W_vowel,sil_SSH,AE_R,AY_R,nonsilence_count,ER_R,nasal_vowel,sil_ZZH,AA_R,silence_count,sil_PTK,UH_R,IY_R,AO_R,UW_R,OW_R,AW_R,EH_R,sil_BDG,AH_R,vowel_PK_vowel,vowel_BG_vowel,vowel_nasal,IH_R,EY_R,phones_per_second,snr,weighting
5142-33396-0018,5142,3.94,0.6699999999999996,22.16532,NA,FALSE,FALSE,FALSE,3,5,1,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,41,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,2,4,0,0,12.538226299694188,NA,5.5
2300-131720-0009,2300,9.605,1.3149999999999984,-23.209711,60.14488,FALSE,TRUE,FALSE,8,12,0,0,2,0,0,0,3,0,0,3,1,0,2,2,0,2,0,1,2,0,0,2,0,0,0,100,0,3,0,0,9,0,0,0,1,0,0,0,0,0,0,2,2,10,2,0,12.062726176115799,83.354591,14
61-70968-0044,61,2.77,0.5700000000000001,44.117188,60.956062,FALSE,TRUE,FALSE,1,5,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,27,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12.272727272727272,16.838874000000004,3.5
7127-75947-0004,7127,1.905,0.905,22.442673,60.771427,FALSE,TRUE,FALSE,1,3,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,38.328754000000004,2.5
2830-3980-0029,2830,9.075,2.5749999999999997,53.0214,63.566284,FALSE,TRUE,FALSE,5,17,0,0,0,1,0,0,3,0,1,0,1,1,4,2,0,1,0,2,3,0,0,3,0,0,0,78,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,12,10.544884000000003,13.5
1284-1180-0014,1284,3.665,0.665,33.88532,59.638817,FALSE,TRUE,FALSE,2,5,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,34,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11.333333333333334,25.753497000000003,4.5
1995-1836-0007,1995,3.435,0.5450000000000002,6.9229856,59.388012,FALSE,TRUE,FALSE,1,8,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,2,1,0,1,0,0,0,0,35,0,2,0,0,3,0,0,0,0,0,0,0,1,1,0,1,1,3,0,0,12.110726643598618,52.465026400000006,5
7176-88083-0027,7176,2.13,0.33999999999999986,42.938988,NA,FALSE,FALSE,FALSE,1,6,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,2,0,0,0,0,0,0,0,23,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,12.849162011173185,NA,4
260-123286-0012,260,2.43,0.8400000000000003,12.791779,63.97757,FALSE,TRUE,FALSE,3,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22,0,1,0,0,2,0,0,0,0,0,1,0,1,1,0,0,0,2,1,0,13.836477987421384,51.185791,3.5
1284-1181-0009,1284,5.245,0.8950000000000002,32.158237,57.86175,FALSE,TRUE,FALSE,3,7,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,1,0,1,1,0,0,1,1,0,1,59,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,6,0,0,13.563218390804598,25.703513,6.5
