file,speaker,duration,silence_duration,silence_intensity,s_intensity,no_surrounding_silence,has_s,audio_peaked,primary_environment_count,secondary_environment_count,UWUH_L,sil_HH,sil_F,F_sil,W_UWUH,TH_sil,vowel_vowel,V_sil,sil_TH,vowel_R,Y_vowel,vowel_D_vowel,vowel_L,vowel_sil,sil_DH,vowel_T_vowel,DH_sil,L_vowel,R_vowel,sil_V,Y_UWUH,W_vowel,sil_SSH,AE_R,AY_R,nonsilence_count,ER_R,nasal_vowel,sil_ZZH,AA_R,silence_count,sil_PTK,UH_R,IY_R,AO_R,UW_R,OW_R,AW_R,EH_R,sil_BDG,AH_R,vowel_PK_vowel,vowel_BG_vowel,vowel_nasal,IH_R,EY_R,phones_per_second,snr,weighting
7729-102255-0008,7729,19.065,3.2250000000000005,23.537403,55.887733,FALSE,TRUE,FALSE,11,26,0,0,0,0,0,0,6,0,0,5,0,2,6,0,2,4,0,2,8,0,0,2,1,0,0,192,0,12,0,1,10,0,0,0,2,0,0,0,2,1,0,6,1,19,0,0,12.121212121212121,32.35033,24
8455-210777-0057,8455,10.81,2.1899999999999995,35.287903,59.812317,FALSE,TRUE,FALSE,7,23,1,2,0,0,0,0,1,0,0,3,0,0,5,1,1,4,0,6,4,0,1,1,0,0,0,130,0,2,0,0,6,0,0,0,1,0,0,0,2,1,0,2,0,14,0,0,15.08120649651972,24.524414,18.5
2300-131720-0031,2300,16.585,1.7350000000000003,-131.74144,62.246147,FALSE,TRUE,FALSE,16,25,0,0,1,0,1,0,8,1,0,5,3,1,3,1,0,5,0,1,7,0,2,2,0,0,0,169,0,8,0,0,7,0,1,0,2,0,0,0,2,0,0,2,0,19,0,0,11.380471380471379,193.98758700000002,28.5
7176-92135-0007,7176,3.275,0.4149999999999998,39.212128,60.489197,FALSE,TRUE,FALSE,3,8,0,0,0,0,0,0,3,0,0,0,0,1,3,0,0,1,0,2,1,0,0,0,0,0,0,41,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,14.335664335664333,21.277068999999997,7
8224-274381-0004,8224,21.255,3.745002999999996,40.081165,62.579784,FALSE,TRUE,FALSE,15,18,1,2,1,0,0,0,5,0,0,6,0,1,3,2,0,1,0,3,3,0,1,4,0,0,1,181,0,5,0,1,13,1,0,0,3,0,0,0,0,0,1,3,0,17,0,0,10.336952085143132,22.498618999999998,24
1284-134647-0004,1284,12.835,1.944999999999999,45.137997,55.362484,FALSE,TRUE,FALSE,4,21,0,1,0,0,0,0,2,0,0,1,2,4,3,1,0,1,0,4,3,0,1,2,1,0,0,149,0,5,0,0,6,0,0,0,0,0,0,0,0,0,1,3,0,14,0,0,13.682277318640953,10.224487000000003,14.5
1089-134686-0019,1089,13.895,1.8949999999999991,30.279303,55.573425,FALSE,TRUE,FALSE,5,12,0,2,0,0,0,0,2,0,0,1,0,1,4,0,1,0,0,1,2,0,0,3,0,0,0,143,0,3,0,1,6,0,0,0,0,0,0,0,0,0,0,2,2,18,0,0,11.916666666666666,25.294122,11
8224-274381-0012,8224,19.885,3.635000999999999,42.18896,58.88271,FALSE,TRUE,FALSE,17,31,0,2,1,0,0,0,4,0,0,10,0,0,6,3,1,2,1,6,6,0,1,5,0,0,0,178,0,5,0,1,13,0,0,1,5,0,0,0,1,1,2,4,0,16,0,0,10.953846827929034,16.69375,32.5
5105-28240-0007,5105,4.625,0.975,39.456196,55.252586,FALSE,TRUE,FALSE,1,7,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,3,0,0,1,1,0,0,52,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,14.246575342465754,15.796390000000002,4.5
7021-79740-0011,7021,10.315,2.395000000000002,10.219136,55.48116,FALSE,TRUE,FALSE,8,16,0,0,1,0,0,0,5,0,0,2,0,0,3,2,1,2,0,2,4,0,1,1,2,0,0,81,0,0,0,0,8,1,0,0,0,0,0,0,1,0,1,1,0,6,0,0,10.22727272727273,45.262024000000004,16
2300-131720-0004,2300,19.91,3.0600040000000024,-152.49959,65.06829,FALSE,TRUE,FALSE,9,35,1,0,0,1,0,0,6,0,0,1,1,1,7,2,0,4,0,8,8,0,2,2,0,0,0,206,0,8,0,0,10,1,0,0,0,0,0,0,0,1,0,5,1,24,1,0,12.225522190034944,217.56788,26.5
8455-210777-0027,8455,12.625,2.734999999999999,40.382362,63.530575,FALSE,TRUE,FALSE,13,16,0,2,0,1,2,0,5,0,0,3,0,3,4,0,0,2,0,3,2,0,0,2,1,0,0,136,0,2,0,2,8,0,0,0,0,0,0,0,1,0,0,2,0,12,0,0,13.751263902932253,23.148213,21
4970-29093-0006,4970,29.6,5.319998,2.6935062,53.40491,FALSE,TRUE,FALSE,21,52,0,1,2,1,0,1,10,0,0,6,0,1,9,3,1,9,0,11,8,0,1,9,1,0,0,308,0,9,0,0,20,2,0,1,0,0,0,0,3,4,1,5,2,24,1,0,12.685336681603237,50.7114038,47
4992-41806-0014,4992,15.21,2.0400000000000023,28.802122,53.894516,FALSE,TRUE,FALSE,7,18,0,0,0,2,0,1,2,0,1,1,0,1,5,1,0,4,0,5,1,0,0,1,1,0,0,154,0,15,0,0,7,0,0,0,0,0,0,0,1,0,0,1,2,23,0,0,11.693242217160215,25.092394000000002,16
8224-274381-0013,8224,13.61,2.479999999999998,41.808968,64.14879,FALSE,TRUE,FALSE,7,14,0,0,1,0,0,0,2,0,0,4,0,0,3,0,0,1,0,2,5,0,2,1,0,0,0,125,0,4,0,0,9,0,0,0,2,1,0,0,1,1,0,3,0,17,0,0,11.230907457322552,22.339822000000005,14
8463-287645-0007,8463,21.5,3.0600020000000043,28.454292,54.360256,FALSE,TRUE,FALSE,8,36,0,0,0,0,0,0,4,1,0,3,0,1,6,5,0,2,0,7,5,0,1,9,0,0,0,223,0,7,0,0,10,0,0,0,0,0,0,0,2,0,1,4,0,23,0,0,12.093276799704645,25.905964,26
7176-88083-0015,7176,2.335,0.365,44.555206,61.22292,FALSE,TRUE,FALSE,1,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,32,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,16.243654822335024,16.667714000000004,3
2300-131720-0028,2300,25.94,4.389996000000001,31.5802,61.59119,FALSE,TRUE,FALSE,11,34,0,0,0,0,0,0,7,0,0,4,1,1,6,3,4,2,0,5,7,0,1,4,0,0,0,248,0,6,0,0,15,1,0,0,1,0,0,0,3,0,0,3,3,22,0,0,11.508118513574288,30.010989999999996,28
