file,speaker,duration,silence_duration,silence_intensity,s_intensity,no_surrounding_silence,has_s,audio_peaked,primary_environment_count,secondary_environment_count,UWUH_L,sil_HH,sil_F,F_sil,W_UWUH,TH_sil,vowel_vowel,V_sil,sil_TH,vowel_R,Y_vowel,vowel_D_vowel,vowel_L,vowel_sil,sil_DH,vowel_T_vowel,DH_sil,L_vowel,R_vowel,sil_V,Y_UWUH,W_vowel,sil_SSH,AE_R,AY_R,nonsilence_count,ER_R,nasal_vowel,sil_ZZH,AA_R,silence_count,sil_PTK,UH_R,IY_R,AO_R,UW_R,OW_R,AW_R,EH_R,sil_BDG,AH_R,vowel_PK_vowel,vowel_BG_vowel,vowel_nasal,IH_R,EY_R
1089-134686-0000,1089,10.435,1.1950000000000018,32.113926,53.039364,False,True,False,5,15,0,1,0,0,1,0,1,0,0,2,0,2,2,1,0,5,0,2,3,0,0,0,0,0,0,105,0,3,0,0,4,2,0,0,0,0,0,0,2,0,0,1,1,8,0,0
1089-134686-0001,1089,3.275,0.9550000000000003,33.91549,51.394287,False,True,False,1,6,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,1,0,1,0,0,29,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0
1089-134686-0002,1089,6.625,0.8649999999999997,29.434309,51.122547,False,True,False,6,17,0,0,0,0,1,0,2,0,0,3,1,0,6,0,0,1,0,5,2,0,0,2,0,0,0,67,0,1,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,3,0,0
1089-134686-0003,1089,2.68,0.6800000000000002,29.911911,,False,False,False,2,6,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,23,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0
1089-134686-0004,1089,5.2150625,1.2750629999999994,34.204666,,False,False,False,2,8,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,2,0,1,1,0,1,1,0,0,0,40,0,4,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0
1089-134686-0005,1089,9.635,1.5550000000000002,29.868448,47.60668,False,True,False,6,17,0,0,0,0,0,0,2,0,0,4,1,0,3,0,2,0,0,2,4,0,1,4,0,0,0,94,0,4,0,0,4,1,0,1,1,0,0,0,0,0,0,2,0,13,2,0
1089-134686-0006,1089,10.555,1.5349999999999981,29.955141,51.624653,False,True,False,5,22,0,0,0,0,0,0,3,0,0,2,0,4,6,1,1,0,0,4,3,0,0,3,0,0,0,98,0,4,0,0,4,1,0,0,1,0,0,0,1,0,0,2,1,10,0,0
1089-134686-0007,1089,4.275,1.0050000000000003,29.605246,51.959972,False,True,False,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,31,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0
1089-134686-0008,1089,6.73,1.0000000000000002,30.264175,53.57995,False,True,False,5,11,0,0,0,2,0,0,1,0,0,2,0,0,4,0,1,0,0,1,2,0,0,3,0,0,0,67,0,1,0,1,4,0,0,0,1,0,0,0,0,0,0,2,0,5,0,0
1089-134686-0009,1089,10.575,2.1149999999999984,28.702961,50.517033,False,True,False,7,15,0,1,0,1,0,0,3,1,0,1,0,0,4,0,0,1,0,3,4,0,0,3,1,0,0,94,0,4,0,0,6,0,0,0,0,0,0,0,1,1,0,0,2,8,0,0
1089-134686-0010,1089,4.405,0.7750000000000001,30.488026,57.60267,False,True,False,1,7,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,1,0,0,1,1,0,0,0,39,0,3,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
1089-134686-0011,1089,12.445,1.3750000000000002,30.801157,54.10214,False,True,False,6,29,0,1,0,0,0,0,1,0,0,4,0,2,7,0,0,5,0,6,5,0,0,4,0,0,0,136,0,5,0,0,3,0,0,0,1,0,0,0,0,0,3,2,0,11,0,0
1089-134686-0012,1089,11.64,2.119999999999999,27.094719,54.42523,False,True,False,9,19,0,2,0,0,0,0,5,0,0,2,0,0,4,2,0,1,0,6,4,0,1,1,0,0,0,105,0,5,0,1,5,0,0,0,0,0,0,0,0,1,1,1,1,9,0,0
1089-134686-0013,1089,7.915,1.4350000000000005,28.3369,55.785686,False,True,False,2,8,0,0,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,0,2,0,0,3,0,0,0,78,0,3,0,0,3,0,0,0,0,0,0,0,0,0,1,2,1,9,0,0
1089-134686-0014,1089,2.225,0.4650000000000002,30.944227,,False,False,False,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1089-134686-0015,1089,5.815,1.7050000000000012,32.074738,50.419598,False,True,False,1,6,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,2,0,0,0,0,0,0,50,0,2,0,0,5,1,0,0,0,0,0,0,0,2,0,1,1,5,0,0
1089-134686-0016,1089,3.54,0.8400000000000001,27.508352,53.255844,False,True,False,0,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,41,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0
1089-134686-0017,1089,8.87,1.4999999999999993,29.469028,53.414196,False,True,False,4,11,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,2,0,4,3,0,0,1,1,0,0,88,0,2,0,0,4,0,0,0,0,0,0,0,1,0,0,2,1,13,0,0
1089-134686-0018,1089,15.72,2.18,28.752636,52.875607,False,True,False,8,24,0,0,0,0,0,0,3,0,0,5,0,1,3,2,2,2,0,6,6,0,1,1,0,0,0,153,0,4,0,0,9,0,1,1,1,0,0,0,1,0,1,0,0,20,0,0
1089-134686-0019,1089,13.895,1.8949999999999991,30.279303,55.573425,False,True,False,5,12,0,2,0,0,0,0,2,0,0,1,0,1,4,0,1,0,0,1,2,0,0,3,0,0,0,143,0,3,0,1,6,0,0,0,0,0,0,0,0,0,0,2,2,18,0,0
1089-134686-0020,1089,16.79,2.24,29.712572,53.45835,False,True,False,9,18,0,1,0,0,0,1,3,0,0,4,0,0,3,1,1,0,0,4,3,0,4,2,0,0,0,169,0,7,0,0,8,1,0,0,4,0,0,0,0,0,0,5,2,20,0,0
1089-134686-0021,1089,6.55,1.2300000000000004,28.493511,56.67149,False,True,False,3,7,0,0,0,0,0,0,1,0,0,2,0,0,2,1,0,1,0,1,0,0,0,2,0,0,0,62,0,1,0,0,6,1,0,0,2,0,0,0,0,1,0,0,0,6,0,0
1089-134686-0022,1089,11.175,1.5550000000000006,29.87222,56.243244,False,True,False,3,16,0,1,0,0,0,0,0,0,0,2,0,0,4,0,2,5,0,1,3,0,0,1,0,0,0,117,0,4,0,1,5,0,0,0,0,1,0,0,0,1,0,4,0,9,0,0
1089-134686-0023,1089,13.275,1.714999999999998,27.717754,54.837975,False,True,False,3,25,0,1,0,0,0,0,2,0,0,0,0,3,3,1,0,4,0,4,5,0,1,4,1,0,0,136,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,16,0,0
1089-134686-0024,1089,11.655,1.6749999999999978,28.454887,55.20967,False,True,False,2,10,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,1,0,1,4,0,0,1,0,0,0,120,0,2,0,0,7,0,0,0,0,0,0,0,1,0,0,1,1,14,0,0
1089-134686-0025,1089,6.61,1.3600000000000003,27.978605,56.28545,False,True,False,2,6,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,1,0,0,0,0,0,1,0,0,0,64,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,7,0,0
1089-134686-0026,1089,4.01,0.7999999999999998,29.133087,56.3202,False,True,False,3,9,0,0,0,0,0,0,1,0,0,2,0,1,1,0,1,2,0,1,3,0,0,0,0,0,0,45,0,1,0,0,2,0,0,1,0,0,0,0,0,0,1,2,0,3,0,0
1089-134686-0027,1089,2.71,0.5299999999999998,29.34263,57.915108,False,True,False,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,29,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1089-134686-0028,1089,7.83,0.7499999999999998,30.019472,58.6975,False,True,False,4,11,0,0,0,0,0,0,3,0,0,1,1,1,1,1,1,1,0,0,3,0,0,2,0,0,0,71,0,5,1,0,3,0,0,0,0,0,0,0,0,0,1,0,1,9,0,0
1089-134686-0029,1089,4.67,0.7500000000000003,30.330652,,False,False,False,1,7,0,0,0,0,0,0,1,0,0,0,0,2,2,1,0,0,0,0,1,0,0,1,0,0,0,42,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0
1089-134686-0030,1089,2.715,0.49500000000000005,38.64602,54.188206,False,True,False,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,21,0,2,0,0,2,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0
1089-134686-0031,1089,6.615,1.2749999999999995,27.92455,52.218388,False,True,False,4,10,0,0,0,0,0,0,2,0,0,2,0,0,2,1,0,1,0,4,0,0,0,2,1,0,0,53,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,1,4,1,0
1089-134686-0032,1089,4.09,1.1300000000000001,27.705713,55.033833,False,True,False,4,6,0,1,0,0,0,0,3,0,0,0,0,0,2,1,1,0,0,1,0,0,1,0,0,0,0,31,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
1089-134686-0033,1089,3.33,1.0299999999999998,29.290047,53.838127,False,True,False,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,25,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1089-134686-0034,1089,5.81,1.3199999999999998,28.615257,54.762722,False,True,False,2,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,49,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,2,0,7,0,0
1089-134686-0035,1089,3.445,0.6749999999999998,29.54254,,False,False,False,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1089-134686-0036,1089,3.25,0.6199999999999999,37.477627,54.050873,False,True,False,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,25,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1089-134686-0037,1089,5.21,0.9300000000000002,27.561958,52.98906,False,True,False,4,8,0,0,0,0,0,0,2,0,0,2,0,1,2,1,1,1,0,2,0,0,0,0,0,0,0,45,0,1,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0,5,0,0
1089-134691-0000,1089,2.085,0.865,34.251606,,False,False,False,1,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,15,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1089-134691-0001,1089,5.415,1.2950000000000002,34.326817,58.061882,False,True,False,4,8,1,0,1,0,0,0,2,0,0,0,0,0,1,1,0,1,0,2,1,0,0,2,0,0,0,49,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,2,0,4,0,0
1089-134691-0002,1089,11.6,2.009999999999999,34.647995,59.27677,False,True,False,4,19,1,1,0,1,0,0,0,0,0,1,0,0,5,0,0,1,0,4,5,0,1,3,0,0,0,122,0,4,0,0,5,0,0,0,0,0,0,0,1,0,0,4,1,9,0,0
1089-134691-0003,1089,2.175,0.8949999999999998,35.26376,61.838337,False,True,False,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,12,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1089-134691-0004,1089,5.1750625,0.9050629999999995,34.82855,58.506836,False,True,False,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,1,0,0,1,0,0,0,43,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1089-134691-0005,1089,5.36,0.7600000000000002,34.434498,55.863247,False,True,False,6,6,0,1,0,0,0,1,1,0,0,3,0,0,1,0,1,2,0,1,1,0,0,0,0,0,0,47,0,2,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1089-134691-0006,1089,5.895,0.6249999999999993,35.507744,55.10874,False,True,False,2,8,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,1,0,0,3,0,1,0,0,0,0,63,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1089-134691-0007,1089,3.44,0.7399999999999998,34.601753,55.988674,False,True,False,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,1,1,0,0,35,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1089-134691-0008,1089,14.985,1.9950000000000008,35.14091,55.90877,False,True,False,5,17,0,0,0,0,0,0,3,0,0,2,1,1,3,2,1,1,0,3,4,0,0,1,1,0,0,137,0,4,0,0,5,0,0,0,2,0,0,0,0,0,0,1,1,16,0,0
1089-134691-0009,1089,20.055,3.775000999999997,35.22538,57.96586,False,True,False,9,31,0,1,0,1,0,0,2,0,0,5,0,0,8,1,0,1,0,9,8,0,0,4,0,0,0,187,0,2,0,0,8,1,0,0,0,0,0,0,4,2,1,2,1,15,0,0
1089-134691-0010,1089,3.195,1.7649999999999997,35.486217,,False,False,False,2,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,22,0,1,0,1,3,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0
1089-134691-0011,1089,20.01,3.510001000000001,34.34309,57.153522,False,True,False,11,34,0,0,0,0,1,0,2,0,0,8,0,4,7,2,3,4,0,6,6,0,1,1,0,0,0,196,0,3,0,2,12,2,0,0,1,0,0,0,5,0,0,0,3,13,0,0
1089-134691-0012,1089,15.03,2.5500000000000007,34.90361,57.099213,False,True,False,7,15,0,0,0,0,1,0,3,0,0,3,0,1,5,0,1,2,0,1,3,0,0,2,1,0,0,155,0,5,0,0,9,1,0,0,2,0,0,0,1,1,0,1,2,15,0,0
1089-134691-0013,1089,16.33,2.2299999999999986,34.179966,58.007923,False,True,False,10,25,0,0,0,0,0,0,4,2,0,4,0,2,6,1,1,5,0,7,0,0,1,2,0,0,0,171,0,9,0,4,5,0,0,0,0,0,0,0,0,1,0,1,2,19,0,0
1089-134691-0014,1089,4.755,1.3250000000000002,34.211838,60.85321,False,True,False,3,4,0,1,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,37,0,3,0,1,4,0,0,0,1,0,0,0,0,0,0,1,0,5,0,0
